w,coin,nL,nS,medL,medS,perday
0x54c7d7ecf75c66f0f568013329175b19645a70b3,HYPE,94,31,4.0,36.0,0.7
0x593456018a4d298b81c6d9e5be38091ea6c8e4fb,BTC,68,69,10.0,6.0,0.7
0x41175f13688e56516127df9b57bf4451ed66f2a4,LIT,65,68,16.0,19.0,0.7
0xdb828552904aea2647e4f17595fcb2481b675e24,BTC,65,58,23.0,18.0,0.6
0x07cd35522a740f957a00c9cd44dd2d038357b3bf,BTC,49,62,7.0,6.0,0.6
0x70b913fa01b57fd5e6d82f77f50182118f027e8d,BTC,74,43,3.0,8.0,0.6
0x87f61bf7e08081495118a44ad566f44eacf8883e,BTC,51,64,8.0,9.0,0.6
0xc072b2bfaddc61b33d53dc3adfa551c55ff3ea63,BTC,46,74,7.0,2.0,0.6
0xb0bd92cb72e27a3f3b83e03091fcac234ccf473f,AERO,40,69,23.0,31.0,0.6
0x4ccc90c626b4f0f7021de51393f0043c7c656e08,SOL,48,60,9.0,4.0,0.6
0xedcc705bf48f86a7d1e1147be652b697d82ba755,BTC,56,60,0.0,3.0,0.6
0x8b7e5e83679e10fcc9aadbb73e2476b7e2c4cc27,BTC,39,78,6.0,3.0,0.6
0xc3e91b63d72a059a2298f5266546b0ecca4c0530,BTC,61,58,12.0,5.0,0.6
0x114b8d95986ce5c1e46f77dee46ef342eca10005,SOL,87,31,15.0,28.0,0.6
0xa0e8a04f8839e28d473f5b50da675b623579e692,SOL,67,40,46.0,6.0,0.6
0x79591e0e3c2dd0acd6362bcd52714205c0fe530d,DOGE,77,35,13.0,30.0,0.6
0x6fa47c6e8cd11c8bafb844d24019952b3bee166e,BTC,58,53,0.0,7.0,0.6
0xf8ae6942b61c6cd0333d174244f2be138626a89e,ETH,40,66,13.0,7.0,0.6
0x58ba004943a5190885a99a4e2a6a277bdb5d9c71,BTC,67,49,12.0,4.0,0.6
0x811b334541162dcf89dd3a2357a9ccfa3b4b7775,ETH,74,39,13.0,15.0,0.6
0xd3933d7fd8b09ee7218a40de61f56be032a98f14,BTC,36,80,6.0,9.0,0.6
0x8c5ad831b652d2f8792b2a4112e809027b59296d,HYPE,60,58,7.0,8.0,0.6
0xdb2eae212ae9aa98f318b48813dac8a7b6e5d672,BTC,42,82,8.0,19.0,0.6
0x68de373312ea2deb3712ea204a63b9e7a312187a,TAO,63,57,29.0,4.0,0.6
0x684bab18526f4b166b1c513b0654f90e465f891e,BTC,61,54,5.0,4.0,0.6
0x20a26b2b9e4bfc46bfc8d9935b04e63e20bc0cfd,BTC,60,58,2.0,0.0,0.6
0x7636b893c8458a058c86c8d7612a97fd3204ba13,HYPE,34,77,45.0,19.0,0.6
0x02496829ea53831d6492c023f6d8684928ebc12e,BTC,49,58,21.0,18.0,0.6
0x2993b016fba31a8cd9368fd2a6efaa5786c9e4c3,BTC,53,66,7.0,3.0,0.6
0x02938da2e3e9e95bc5eeb068a09142ef0792ca17,BTC,33,79,2.0,3.0,0.6
0x0ba1a555123009c1561b38fbece67ce43e840631,BTC,57,58,10.0,6.0,0.6
0xed7c40e138cb25e79d94295882c66ac8197fb66e,BTC,40,59,0.0,2.0,0.5
