signal,horizon,n,mean_ret_bps,t_stat,p_value,sharpe,base
S8_CrossCoin_BTClag1m_ETH,15min,3623,-2.807,-9.07,0.0,-28.206,S8_CrossCoin_BTClag
S6_AggressiveFlow_BTC,15min,2197,-2.908,-9.102,0.0,-36.348,S6_AggressiveFlow_BTC
S2_LargeTradeContinuation_SOL,5min,1332,-3.086,-9.126,0.0,-81.076,S2_LargeTradeContinuation_SOL
S10_L2DepthImbalance_BTC,5min,1628,-2.047,-9.194,0.0,-73.88,S10_L
S8_CrossCoin_BTClag5m_ETH,15min,3620,-2.836,-9.352,0.0,-29.096,S8_CrossCoin_BTClag
S12_Hurst_MeanRev_BTC,5min,364,-5.194,-9.657,0.0,-164.103,S12_Hurst_MeanRev
S8_CrossCoin_BTClag3m_ETH,15min,3617,-3.005,-9.838,0.0,-30.62,S8_CrossCoin_BTClag
S9_SpreadWidenFade_ETH,5min,746,-5.083,-10.223,0.0,-121.347,S9_SpreadWidenFade_ETH
S6_AggressiveFlow_SOL,15min,2131,-3.608,-10.302,0.0,-41.776,S6_AggressiveFlow_SOL
S6_AggressiveFlow_ETH,15min,2705,-3.41,-10.394,0.0,-37.41,S6_AggressiveFlow_ETH
S9_SpreadWidenFade_SOL,5min,872,-4.588,-10.445,0.0,-114.679,S9_SpreadWidenFade_SOL
S9_SpreadWidenFade_BTC,5min,732,-4.444,-10.874,0.0,-130.313,S9_SpreadWidenFade_BTC
S11_L2Absorption_SOL,5min,1196,-3.811,-10.967,0.0,-102.816,S11_L
S2_LargeTradeContinuation_BTC,5min,1589,-2.768,-11.619,0.0,-94.504,S2_LargeTradeContinuation_BTC
S11_L2Absorption_BTC,5min,1292,-3.863,-14.856,0.0,-134.0,S11_L
S6_AggressiveFlow_BTC,5min,2204,-2.926,-15.056,0.0,-103.979,S6_AggressiveFlow_BTC
S6_AggressiveFlow_ETH,5min,2713,-3.047,-15.389,0.0,-95.793,S6_AggressiveFlow_ETH
S8_CrossCoin_BTClag5m_ETH,5min,3625,-2.897,-15.664,0.0,-84.351,S8_CrossCoin_BTClag
S8_CrossCoin_BTClag1m_ETH,5min,3630,-2.919,-15.855,0.0,-85.323,S8_CrossCoin_BTClag
S6_AggressiveFlow_SOL,5min,2150,-3.33,-16.179,0.0,-113.126,S6_AggressiveFlow_SOL
S8_CrossCoin_BTClag3m_ETH,5min,3627,-3.205,-17.646,0.0,-94.996,S8_CrossCoin_BTClag
